,hoststar,refstar,hoststar_err,refstar_err,image
0,606659.544343,654733.442346,439.378583389,456.194675368,ABxo2b.0002.fits
1,609387.389733,657911.360804,440.337775167,457.272751701,ABxo2b.0010.fits
2,667655.070792,721118.560626,460.604535095,478.439931962,ABxo2b.0018.fits
3,679550.391642,737076.688079,464.55724018,483.566888656,ABxo2b.0030.fits
4,675120.549497,728717.39152,463.053056679,480.844474363,ABxo2b.0042.fits
5,681553.268613,737311.801439,465.199979296,483.610335752,ABxo2b.0056.fits
6,654656.3355,711983.471648,455.974593147,475.257010862,ABxo2b.0066.fits
7,572399.757198,626218.720425,426.739746227,446.055080623,ABxo2b.0078.fits
8,658421.249818,721017.370923,457.173875514,478.141443573,ABxo2b.0092.fits
9,665824.142939,731764.933533,459.6300585,481.572075944,ABxo2b.0116.fits
10,660518.737055,722966.011376,457.867236564,478.756776644,ABxo2b.0136.fits
11,706775.64659,773410.43264,473.365927,494.926302446,ABxo2b.0154.fits
12,690822.296426,755367.660241,467.998955568,489.128340566,ABxo2b.0170.fits
13,655913.927757,709447.366445,456.143055893,474.156244838,ABxo2b.0182.fits
14,740554.748324,801023.98428,484.341508518,503.513385718,ABxo2b.0194.fits
15,745987.462717,805109.593924,486.109532599,504.797224268,ABxo2b.0202.fits
16,720623.465334,780195.013158,477.846296886,496.987324119,ABxo2b.0212.fits
17,716088.18811,774068.772112,476.333289101,495.032074596,ABxo2b.0228.fits
18,676830.894298,730867.184945,463.250284187,481.169065508,ABxo2b.0242.fits
19,703439.477062,759430.817271,472.159189675,490.379408438,ABxo2b.0254.fits
20,702776.098763,757775.122499,471.904469342,489.813936171,ABxo2b.0262.fits
