,hoststar,refstar,hoststar_err,refstar_err,image
0,612488.318237,661036.942602,441.58877778,458.485644527,ABxo2b.0002.fits
1,615268.391172,664282.696056,442.561150285,459.580965683,ABxo2b.0010.fits
2,671045.986799,724825.070907,461.886009289,479.776372635,ABxo2b.0018.fits
3,682784.353739,740591.953424,465.771810477,484.824356966,ABxo2b.0030.fits
4,679155.594694,733137.772328,464.541632181,482.402997227,ABxo2b.0042.fits
5,685593.048053,741710.515069,466.682238766,485.151826972,ABxo2b.0056.fits
6,660112.667833,717963.411101,457.96879011,477.341956423,ABxo2b.0066.fits
7,580670.528044,635320.795759,429.89628859,449.365334768,ABxo2b.0078.fits
8,664019.638841,727126.313707,459.207496051,480.252417199,ABxo2b.0092.fits
9,671468.14074,738060.803118,461.665237048,483.725348111,ABxo2b.0116.fits
10,666931.868649,730209.657378,460.174334772,481.233808714,ABxo2b.0136.fits
11,711177.245223,778240.947221,474.931484384,496.558776197,ABxo2b.0154.fits
12,696788.712594,762090.672535,470.102162222,491.382036159,ABxo2b.0170.fits
13,663486.513307,717702.708774,458.849048864,476.983372651,ABxo2b.0182.fits
14,744205.221285,805055.154372,485.626003077,504.866601887,ABxo2b.0194.fits
15,749257.492617,808719.207246,487.267547281,506.01700971,ABxo2b.0202.fits
16,725570.761614,785605.656024,479.572169137,498.791939931,ABxo2b.0212.fits
17,721936.87805,780586.322877,478.359112481,497.192060991,ABxo2b.0228.fits
18,685080.032555,739947.112379,466.14153543,484.22156297,ABxo2b.0242.fits
19,709844.277798,766560.701242,474.386879401,492.754775879,ABxo2b.0254.fits
20,709945.667867,765874.735429,474.384684797,492.499264328,ABxo2b.0262.fits
