,hoststar,refstar,hoststar_err,refstar_err,image
0,590448.778469,637250.192627,433.223651039,449.827626161,ABxo2b.0002.fits
1,593056.80883,640304.113512,434.154481592,450.879091523,ABxo2b.0010.fits
2,657889.085322,710661.253405,456.954951651,474.700433686,ABxo2b.0018.fits
3,670302.005014,727173.714328,461.122760953,480.055724396,ABxo2b.0030.fits
4,663673.472848,716203.159501,458.857636563,476.455568095,ABxo2b.0042.fits
5,670176.724743,724895.639006,461.050657086,479.281629609,ABxo2b.0056.fits
6,639395.992894,695385.256023,450.398380689,469.464762065,ABxo2b.0066.fits
7,550056.695789,601777.805651,418.132072449,437.077122141,ABxo2b.0078.fits
8,642850.568171,704066.879124,451.514209404,472.276373055,ABxo2b.0092.fits
9,650060.71568,714312.023627,453.942081543,475.591840988,ABxo2b.0116.fits
10,642506.841944,703000.33095,451.371897157,471.901268228,ABxo2b.0136.fits
11,694260.281659,759792.936869,468.934259668,490.338440354,ABxo2b.0154.fits
12,673843.241883,736707.83295,462.009660039,482.856681624,ABxo2b.0170.fits
13,634921.611994,686661.875463,448.597442398,466.302055928,ABxo2b.0182.fits
14,729847.1883,789367.619617,480.609240059,499.628398846,ABxo2b.0194.fits
15,736378.319261,794619.640444,482.746392653,501.285663254,ABxo2b.0202.fits
16,706218.296209,764634.654646,472.838933678,491.808265795,ABxo2b.0212.fits
17,698919.136814,754974.680756,470.392129563,488.702264265,ABxo2b.0228.fits
18,653428.392354,705382.958495,454.995310459,472.538523461,ABxo2b.0242.fits
19,684907.80841,738934.381191,465.705820972,483.533988859,ABxo2b.0254.fits
20,681607.50566,734090.399919,464.562237075,481.928324646,ABxo2b.0262.fits
