,hoststar,refstar,hoststar_err,refstar_err,image
0,675889.796808,729564.982176,466.317986698,484.003019942,ABxo2b.0002.fits
1,679609.496215,734324.292601,467.54339823,485.51909459,ABxo2b.0010.fits
2,705709.219236,762509.830613,476.199240461,494.519157462,ABxo2b.0018.fits
3,716410.824764,777147.823445,479.563488209,499.00082125,ABxo2b.0030.fits
4,721402.979645,779635.330276,481.1789024,499.771643713,ABxo2b.0042.fits
5,728560.175103,788630.08039,483.457204223,502.53323692,ABxo2b.0056.fits
6,719327.992905,782210.094166,480.320762263,500.391951226,ABxo2b.0066.fits
7,681169.712649,745166.220099,467.661137272,488.613984553,ABxo2b.0078.fits
8,725323.985464,794350.688428,482.10260255,504.023079041,ABxo2b.0092.fits
9,732818.532926,805515.392854,484.395434559,507.336840992,ABxo2b.0116.fits
10,736003.565346,806404.039411,485.516113902,507.715326779,ABxo2b.0136.fits
11,755983.193943,826909.834633,491.790452896,513.876245011,ABxo2b.0154.fits
12,756641.525483,828006.974555,491.899474073,514.11760139,ABxo2b.0170.fits
13,746131.795098,807346.084883,488.512526086,507.727724185,ABxo2b.0182.fits
14,778268.94149,842540.519166,498.691929149,518.467736306,ABxo2b.0194.fits
15,779847.900245,842557.212624,499.212554581,518.498347416,ABxo2b.0202.fits
16,772534.631388,836564.797739,496.883369834,516.658316455,ABxo2b.0212.fits
17,774062.957485,838443.323305,497.322579736,517.191880978,ABxo2b.0228.fits
18,763548.416383,826116.98169,494.024701811,513.461175737,ABxo2b.0242.fits
19,769761.642976,832720.822552,495.976534435,515.46195002,ABxo2b.0254.fits
20,771243.393139,834761.869179,496.381375967,516.016325171,ABxo2b.0262.fits
