,hoststar,refstar,hoststar_err,refstar_err,image
0,660105.741095,712336.323939,459.872313527,477.325608032,ABxo2b.0002.fits
1,663378.045904,716688.702519,460.966992991,478.733820456,ABxo2b.0010.fits
2,697296.046557,753380.932533,472.348102795,490.587379542,ABxo2b.0018.fits
3,708102.569537,768201.461155,475.800909535,495.187536359,ABxo2b.0030.fits
4,711026.715312,768259.713394,476.752164626,495.197839487,ABxo2b.0042.fits
5,717838.477596,777002.296558,478.947306833,497.914985891,ABxo2b.0056.fits
6,704551.62593,766144.054216,474.468311098,494.373507837,ABxo2b.0066.fits
7,653940.70652,715416.334363,457.408607542,477.989190804,ABxo2b.0078.fits
8,709953.832895,777324.334368,476.108276791,497.775416108,ABxo2b.0092.fits
9,717501.509933,788721.434772,478.472815912,501.230301409,ABxo2b.0116.fits
10,719034.688335,787769.051642,479.050287416,501.018562097,ABxo2b.0136.fits
11,745257.092297,815288.483212,487.444570901,509.447510514,ABxo2b.0154.fits
12,742790.100793,812738.731037,486.567436327,508.585505781,ABxo2b.0170.fits
13,725614.968783,784982.20704,480.980814297,499.915003752,ABxo2b.0182.fits
14,770621.573691,834122.63716,495.409578742,515.082780952,ABxo2b.0194.fits
15,772793.386821,834822.338671,496.116480859,515.316701695,ABxo2b.0202.fits
16,761893.167095,825026.578969,492.637829868,512.307589548,ABxo2b.0212.fits
17,762869.894619,826059.777516,492.913305236,512.59394458,ABxo2b.0228.fits
18,746421.198994,807346.505801,487.67717593,506.854802251,ABxo2b.0242.fits
19,756564.485376,818214.716723,490.913707998,510.195468983,ABxo2b.0254.fits
20,758681.783696,820694.448677,491.537057901,510.902284445,ABxo2b.0262.fits
