,hoststar,refstar,hoststar_err,refstar_err,image
0,563649.580091,608363.853535,422.96895148,439.217433008,ABxo2b.0002.fits
1,566147.52715,611131.115337,423.883339564,440.193884143,ABxo2b.0010.fits
2,640766.506079,692218.723466,450.625788635,468.170925152,ABxo2b.0018.fits
3,654374.006036,710074.435301,455.273463565,474.054163608,ABxo2b.0030.fits
4,644238.804476,694989.70704,451.76505511,469.03594938,ABxo2b.0042.fits
5,650892.162488,703858.126741,454.047592588,471.968601235,ABxo2b.0056.fits
6,614115.780661,667787.150828,441.111607668,459.775177002,ABxo2b.0066.fits
7,514889.880059,563211.299825,404.300134302,422.606835798,ABxo2b.0078.fits
8,617147.960371,675714.541972,442.113808109,462.401745476,ABxo2b.0092.fits
9,623898.589369,685317.280919,444.441185621,465.582127269,ABxo2b.0116.fits
10,612473.920675,669830.848739,440.433545837,460.384669888,ABxo2b.0136.fits
11,672796.018048,736184.908885,461.345292799,482.391406332,ABxo2b.0154.fits
12,644659.906177,704556.644905,451.641488957,471.962567768,ABxo2b.0170.fits
13,600571.220495,649239.738514,436.060520787,453.196369125,ABxo2b.0182.fits
14,710456.555514,768016.99588,473.904678542,492.561409833,ABxo2b.0194.fits
15,718898.580852,775214.80006,476.698895313,494.857232459,ABxo2b.0202.fits
16,680437.504692,736758.274572,463.868600238,482.512036408,ABxo2b.0212.fits
17,667797.81285,720530.893284,459.559479675,477.19616613,ABxo2b.0228.fits
18,613969.979205,662378.532405,440.830542451,457.705210384,ABxo2b.0242.fits
19,652134.928009,702987.358431,454.191110582,471.401795594,ABxo2b.0254.fits
20,643134.527063,691178.870215,451.046706502,467.430039203,ABxo2b.0262.fits
