,hoststar,refstar,hoststar_err,refstar_err,image
0,669311.354484,722398.291242,463.579277651,481.175125782,ABxo2b.0002.fits
1,672800.997391,726936.358622,464.73631491,482.63021552,ABxo2b.0010.fits
2,702195.829369,758703.237148,474.534320889,492.824867646,ABxo2b.0018.fits
3,712934.121691,773419.247582,477.934945856,497.358240219,ABxo2b.0030.fits
4,717067.021603,774883.387792,479.276112221,497.810375122,ABxo2b.0042.fits
5,724130.804533,783760.959813,481.537173642,500.550609655,ABxo2b.0056.fits
6,713169.948852,775532.73277,477.833099982,497.843566048,ABxo2b.0066.fits
7,669603.512625,732572.023857,463.283329261,484.095086325,ABxo2b.0078.fits
8,718877.787195,787252.056429,479.544916507,501.375210837,ABxo2b.0092.fits
9,726445.114831,798525.749577,481.885632231,504.752973842,ABxo2b.0116.fits
10,728960.954904,798703.38628,482.786980866,504.903681421,ABxo2b.0136.fits
11,751550.787808,822093.062104,489.943765645,511.993521742,ABxo2b.0154.fits
12,750938.470924,821740.318824,489.655403396,511.80005626,ABxo2b.0170.fits
13,737605.760112,798085.813298,485.344321313,504.456084052,ABxo2b.0182.fits
14,775111.211203,839108.579533,497.285953176,517.035167223,ABxo2b.0194.fits
15,776935.942292,839359.174235,497.883300525,517.134554165,ABxo2b.0202.fits
16,768177.855699,831842.964655,495.093056013,514.828126136,ABxo2b.0212.fits
17,769550.218018,833403.929283,495.488222104,515.270149148,ABxo2b.0228.fits
18,756692.238995,818589.895183,491.428816871,510.760950632,ABxo2b.0242.fits
19,764426.848139,826838.617565,493.875406436,513.275823573,ABxo2b.0254.fits
20,766220.778531,829111.829639,494.386429734,513.90907977,ABxo2b.0262.fits
