,hoststar,refstar,hoststar_err,refstar_err,image
0,647003.351106,698137.657809,454.750160675,472.031003143,ABxo2b.0002.fits
1,650149.73493,702177.782569,455.816279584,473.353989108,ABxo2b.0010.fits
2,690312.927501,745715.591366,469.414242635,487.546349721,ABxo2b.0018.fits
3,701270.657405,760768.238991,472.953815162,492.263139157,ABxo2b.0030.fits
4,702398.375671,758791.426695,473.317694995,491.626168678,ABxo2b.0042.fits
5,709001.037939,767394.196516,475.464779106,494.324051036,ABxo2b.0056.fits
6,692370.133248,752871.340152,469.85256813,489.599100852,ABxo2b.0066.fits
7,632695.011674,692118.701037,449.473599916,469.720019705,ABxo2b.0078.fits
8,697338.587313,763429.011689,471.382466953,492.85265382,ABxo2b.0092.fits
9,704900.254939,774758.502726,473.789811176,496.335941449,ABxo2b.0116.fits
10,704850.834909,772074.844109,473.840116909,495.563844247,ABxo2b.0136.fits
11,736212.27125,805445.188883,484.006281155,505.913758648,ABxo2b.0154.fits
12,730754.043496,799422.177707,482.162117082,503.976499279,ABxo2b.0170.fits
13,708586.984883,766401.683042,474.881880792,493.561945498,ABxo2b.0182.fits
14,763911.360103,826676.892395,492.785893064,512.338143815,ABxo2b.0194.fits
15,766820.351787,828119.244466,493.728068833,512.797698655,ABxo2b.0202.fits
16,752638.826701,814979.462359,489.185124542,508.747144592,ABxo2b.0212.fits
17,752683.667103,814878.290919,489.168515513,508.689894741,ABxo2b.0228.fits
18,730844.448813,790210.689086,482.139753829,501.04501021,ABxo2b.0242.fits
19,744721.728739,805203.885837,486.619099979,505.705497087,ABxo2b.0254.fits
20,747013.441037,807589.746437,487.310690304,506.39644984,ABxo2b.0262.fits
