,hoststar,refstar,hoststar_err,refstar_err,image
0,540840.261828,584147.187694,414.125727841,430.196527884,ABxo2b.0002.fits
1,543325.180063,586656.649023,415.055866859,431.100846904,ABxo2b.0010.fits
2,625294.007345,675761.036144,444.929762887,462.358173761,ABxo2b.0018.fits
3,640283.049677,694850.957752,450.124667473,468.733913179,ABxo2b.0030.fits
4,627214.545373,676462.1647,445.545741616,462.540313855,ABxo2b.0042.fits
5,634233.216798,685511.465741,447.990125852,465.577298405,ABxo2b.0056.fits
6,592495.778672,644352.438049,433.08893761,451.455634761,ABxo2b.0066.fits
7,486669.620513,532539.796256,392.909539532,410.790162167,ABxo2b.0078.fits
8,595351.043092,651789.104155,434.054371223,453.968833521,ABxo2b.0092.fits
9,601621.837127,660917.543456,436.259282971,457.052607882,ABxo2b.0116.fits
10,586983.885291,641933.774833,431.004171028,450.536659951,ABxo2b.0136.fits
11,653843.380868,715451.824434,454.618132228,475.376216723,ABxo2b.0154.fits
12,618987.302007,676836.78736,442.398144875,462.432557643,ABxo2b.0170.fits
13,571998.970084,617952.853077,425.413987227,442.002663069,ABxo2b.0182.fits
14,692264.297937,748298.694303,467.620553637,486.027957488,ABxo2b.0194.fits
15,702346.171371,756894.89005,470.996942017,488.801879739,ABxo2b.0202.fits
16,656967.82262,711413.351225,455.634926975,473.983601826,ABxo2b.0212.fits
17,639453.607183,688915.037289,449.552982227,466.470412116,ABxo2b.0228.fits
18,580369.354316,625965.187358,428.468837984,444.823282503,ABxo2b.0242.fits
19,622917.192531,670880.610553,443.75463819,460.373644132,ABxo2b.0254.fits
20,608036.17724,652183.032247,438.441715819,453.9367535,ABxo2b.0262.fits
