,hoststar,refstar,hoststar_err,refstar_err,image
0,634983.344504,685201.990546,450.135806872,467.281709309,ABxo2b.0002.fits
1,638003.633209,688883.011394,451.170767905,468.499696917,ABxo2b.0010.fits
2,683739.000911,738556.505449,466.780486928,484.823617073,ABxo2b.0018.fits
3,694943.665272,753841.718172,470.432970964,489.651235861,ABxo2b.0030.fits
4,694399.904699,749953.485624,470.24300778,488.398569661,ABxo2b.0042.fits
5,700951.706525,758488.503237,472.390748951,491.096414909,ABxo2b.0056.fits
6,681158.838345,740735.821924,465.688615537,485.308224638,ABxo2b.0066.fits
7,613945.190946,671632.271506,442.459786992,462.426726956,ABxo2b.0078.fits
8,685700.35647,750693.262121,467.101787641,488.409629833,ABxo2b.0092.fits
9,693301.529791,762004.712004,469.554650584,491.929657296,ABxo2b.0116.fits
10,691630.324523,757578.522446,469.056906912,490.586376675,ABxo2b.0136.fits
11,727725.705601,796197.190476,480.880026185,502.688024327,ABxo2b.0154.fits
12,719201.045275,786783.867704,478.026989251,499.682939038,ABxo2b.0170.fits
13,692931.710326,749458.022192,469.316750131,487.799469953,ABxo2b.0182.fits
14,757386.255098,819468.894886,490.354275725,509.79218585,ABxo2b.0194.fits
15,761007.28661,821645.932924,491.52640413,510.477773614,ABxo2b.0202.fits
16,743652.043251,805181.606296,485.942376135,505.380515095,ABxo2b.0212.fits
17,742749.219732,803716.395732,485.62307006,504.902312501,ABxo2b.0228.fits
18,715641.099414,773385.188274,476.811304299,495.409141655,ABxo2b.0242.fits
19,733196.352947,792468.012627,482.537605592,501.403067318,ABxo2b.0254.fits
20,735113.152281,794273.959546,483.118149656,501.923813857,ABxo2b.0262.fits
