,hoststar,refstar,hoststar_err,refstar_err,image
0,673829.099635,727300.094306,465.448738512,483.099940043,ABxo2b.0002.fits
1,677465.824417,731981.970101,466.649233203,484.594461511,ABxo2b.0010.fits
2,704602.243913,761302.84426,475.663499236,493.972223153,ABxo2b.0018.fits
3,715313.869197,775962.714549,479.039049559,498.469684836,ABxo2b.0030.fits
4,720031.24457,778133.700065,480.567015542,499.14224186,ABxo2b.0042.fits
5,727161.782766,787082.056778,482.840956054,501.894333168,ABxo2b.0056.fits
6,717392.369685,780100.748139,479.528852296,499.578189592,ABxo2b.0066.fits
7,677514.482622,741143.15927,466.271292692,487.166331467,ABxo2b.0078.fits
8,723297.116088,792105.8712,481.288936073,503.177627061,ABxo2b.0092.fits
9,730819.024291,803304.790898,483.598554062,506.511814222,ABxo2b.0116.fits
10,733793.863403,803969.3329,484.650423062,506.818566068,ABxo2b.0136.fits
11,754591.63926,825388.360475,491.200900507,513.273051968,ABxo2b.0154.fits
12,754864.722684,826036.778292,491.190095511,513.380454737,ABxo2b.0170.fits
13,743453.822846,804417.932554,487.50935181,506.686553448,ABxo2b.0182.fits
14,777280.101189,841462.877172,498.241682227,518.008739282,ABxo2b.0194.fits
15,778944.441524,841548.935616,498.788890715,518.059619135,ABxo2b.0202.fits
16,771180.376647,835081.882685,496.31618028,516.074627053,ABxo2b.0212.fits
17,772659.900954,836862.93786,496.741742669,516.580285612,ABxo2b.0228.fits
18,761424.62148,823766.357895,493.210188621,512.609117919,ABxo2b.0242.fits
19,768108.955453,830877.445724,495.314811696,514.768021302,ABxo2b.0254.fits
20,769697.006284,832996.666271,495.755650918,515.348844892,ABxo2b.0262.fits
