,hoststar,refstar,hoststar_err,refstar_err,image
0,550348.129436,594186.95717,417.827416104,433.952848483,ABxo2b.0002.fits
1,552835.180421,596788.036713,418.749668224,434.881926178,ABxo2b.0010.fits
2,631860.966773,682682.01414,447.347287658,464.804005672,ABxo2b.0018.fits
3,646223.7755,701244.52822,452.294735495,470.968588153,ABxo2b.0030.fits
4,634358.262624,684213.225614,448.158681006,465.262122,ABxo2b.0042.fits
5,641189.789653,693171.616642,450.522882225,468.25004498,ABxo2b.0056.fits
6,601532.561487,654084.902557,436.453383379,454.92339974,ABxo2b.0066.fits
7,498283.008652,545091.350541,397.631047416,415.661826645,ABxo2b.0078.fits
8,604439.543167,661707.460192,437.426574064,457.478156277,ABxo2b.0092.fits
9,610917.207644,671034.080032,439.685628869,460.603009663,ABxo2b.0116.fits
10,597613.354056,653482.429138,434.954793549,454.634081718,ABxo2b.0136.fits
11,661833.778405,724113.520813,457.459392683,478.313730712,ABxo2b.0154.fits
12,629796.747628,688393.240174,446.306530461,466.423725417,ABxo2b.0170.fits
13,583833.239594,630837.92579,429.850276004,446.642062097,ABxo2b.0182.fits
14,700046.452538,756635.105776,470.311044561,488.794270754,ABxo2b.0194.fits
15,709450.119628,764674.142232,473.444241272,491.375371584,ABxo2b.0202.fits
16,666905.838362,722064.059697,459.132277672,477.579949553,ABxo2b.0212.fits
17,651457.614313,702182.967274,453.810572767,470.995310871,ABxo2b.0228.fits
18,594366.344675,641006.653146,433.655314997,450.184399646,ABxo2b.0242.fits
19,635209.653716,684260.740586,448.168450775,464.995845054,ABxo2b.0254.fits
20,622885.286783,668536.290743,443.811062431,459.637491396,ABxo2b.0262.fits
