,hoststar,refstar,hoststar_err,refstar_err,image
0,579567.555867,625580.463888,429.075276534,445.55713323,ABxo2b.0002.fits
1,582115.891884,628545.607625,429.994080718,446.588232249,ABxo2b.0010.fits
2,651041.223308,703417.13292,454.418413509,472.128388586,ABxo2b.0018.fits
3,663944.849154,720387.814781,458.781479131,477.667155014,ABxo2b.0030.fits
4,655921.751432,707706.269627,456.026088037,473.483109263,ABxo2b.0042.fits
5,662488.861919,716453.266069,458.255994172,476.34636222,ABxo2b.0056.fits
6,629162.072151,684269.93864,446.648908999,465.573033424,ABxo2b.0066.fits
7,535516.053566,585935.164493,412.458575519,431.180530342,ABxo2b.0078.fits
8,632426.107501,692655.71995,447.712861565,468.314046709,ABxo2b.0092.fits
9,639478.258441,702611.537392,450.110633697,471.565902093,ABxo2b.0116.fits
10,630340.622008,689633.355177,446.960450398,467.281552112,ABxo2b.0136.fits
11,685674.436429,750429.894259,465.899859255,487.188031812,ABxo2b.0154.fits
12,662086.757312,723942.154559,457.848542982,478.546930913,ABxo2b.0170.fits
13,621009.256794,671491.460419,443.550426635,461.022703323,ABxo2b.0182.fits
14,722234.234877,781063.800987,477.972846336,496.875979606,ABxo2b.0194.fits
15,729539.828228,787094.487934,480.373735443,498.78635079,ABxo2b.0202.fits
16,696083.375122,753697.731487,469.317547714,488.167122407,ABxo2b.0212.fits
17,686746.416564,741450.18397,466.16897769,484.202055055,ABxo2b.0228.fits
18,637528.947111,688117.40333,449.328880993,466.627337973,ABxo2b.0242.fits
19,671997.300706,724693.470078,461.188736494,478.750499786,ABxo2b.0254.fits
20,666542.374093,717258.694226,459.301263785,476.279013809,ABxo2b.0262.fits
