,hoststar,refstar,hoststar_err,refstar_err,image
0,603605.443381,651456.583912,438.220384273,455.002774778,ABxo2b.0002.fits
1,606304.401074,654602.737896,439.172057114,456.073008365,ABxo2b.0010.fits
2,665854.334751,719184.791599,459.927574015,477.744845663,ABxo2b.0018.fits
3,677823.399549,735243.194006,463.912553902,482.913222097,ABxo2b.0030.fits
4,672967.433707,726404.780766,462.261957506,480.030795329,ABxo2b.0042.fits
5,679398.978554,735017.788617,464.412664253,482.807923054,ABxo2b.0056.fits
6,651775.738986,708875.561402,454.922644881,474.17301636,ABxo2b.0066.fits
7,568117.268617,621546.866344,425.099453486,444.349045793,ABxo2b.0078.fits
8,655473.626378,717846.504139,456.103572175,477.04507946,ABxo2b.0092.fits
9,662849.429271,728494.566916,458.557768702,480.452717163,ABxo2b.0116.fits
10,657127.603902,719214.624433,456.646872331,477.471770947,ABxo2b.0136.fits
11,704432.810058,770892.605808,472.534940787,494.076312796,ABxo2b.0154.fits
12,687662.910987,751878.767865,466.885499954,487.957474596,ABxo2b.0170.fits
13,651908.236222,705175.058693,454.709260318,472.689201363,ABxo2b.0182.fits
14,738583.996383,798901.594897,483.651630228,502.802886284,ABxo2b.0194.fits
15,744216.805931,803206.069668,485.486504227,504.156304728,ABxo2b.0202.fits
16,717954.4748,777351.756956,476.917638494,496.039749484,ABxo2b.0212.fits
17,712916.517134,770613.383489,475.236385154,493.886921416,ABxo2b.0228.fits
18,672433.356001,726120.08751,461.706051237,479.568639742,ABxo2b.0242.fits
19,699986.68946,755678.940147,470.958889321,489.128284132,ABxo2b.0254.fits
20,698888.634932,753475.680691,470.559460499,488.386400068,ABxo2b.0262.fits
