,hoststar,refstar,hoststar_err,refstar_err,image
0,655536.684496,707393.487337,458.071049643,475.468066903,ABxo2b.0002.fits
1,658746.72276,711653.173995,459.149693225,476.852213757,ABxo2b.0010.fits
2,694874.403383,750741.059045,471.310735494,489.519701418,ABxo2b.0018.fits
3,705738.772787,765624.90112,474.795990596,494.155331695,ABxo2b.0030.fits
4,708048.696944,764983.793729,475.54739639,493.944186428,ABxo2b.0042.fits
5,714770.287607,773656.4586,477.720401751,496.648198293,ABxo2b.0056.fits
6,700317.634756,761525.160758,472.848898431,492.698217465,ABxo2b.0066.fits
7,646413.722463,707204.248684,454.596313664,475.073750179,ABxo2b.0078.fits
8,705555.941601,772485.203562,474.447199109,496.048371041,ABxo2b.0092.fits
9,713101.800937,783866.059095,476.824929286,499.515996257,ABxo2b.0116.fits
10,714108.790477,782344.632857,477.227933322,499.120682681,ABxo2b.0136.fits
11,742125.67943,811903.30612,486.237883088,508.21570755,ABxo2b.0154.fits
12,738636.577541,808190.108443,485.032428283,506.995799443,ABxo2b.0170.fits
13,719714.341812,778509.887096,478.857469556,497.694259183,ABxo2b.0182.fits
14,768335.812914,831579.533299,494.496484968,514.127437894,ABxo2b.0194.fits
15,770746.080094,832549.092301,495.279180766,514.44300338,ABxo2b.0202.fits
16,758720.849606,821603.25303,491.437027126,511.077168599,ABxo2b.0212.fits
17,759415.401819,822293.242583,491.624927026,511.260452824,ABxo2b.0228.fits
18,741129.075244,801547.616799,485.781274187,504.874862726,ABxo2b.0242.fits
19,752560.969898,813795.427767,489.4438353,508.654302145,ABxo2b.0254.fits
20,754772.180461,816296.702363,490.101617521,509.372520138,ABxo2b.0262.fits
