,hoststar,refstar,hoststar_err,refstar_err,image
0,615279.040783,664046.106687,442.646986492,459.579215092,ABxo2b.0002.fits
1,618083.500633,667330.680276,443.625389488,460.684882625,ABxo2b.0010.fits
2,672655.579462,726570.679012,462.49730214,480.409023963,ABxo2b.0018.fits
3,684310.202335,742263.232061,466.348234376,485.424899911,ABxo2b.0030.fits
4,681059.561816,735244.53546,465.246832523,483.1477364,ABxo2b.0042.fits
5,687497.446204,743807.480292,467.383817387,485.88861095,ABxo2b.0056.fits
6,662716.158077,720814.419576,458.920994771,478.336381452,ABxo2b.0066.fits
7,584681.482881,639713.679814,431.421682958,450.957324295,ABxo2b.0078.fits
8,666690.727355,730044.955921,460.178208152,481.261056006,ABxo2b.0092.fits
9,674162.034424,741055.2414,462.63694465,484.749596627,ABxo2b.0116.fits
10,669989.240559,733641.210562,461.273757112,482.406588738,ABxo2b.0136.fits
11,713264.27937,780520.12777,475.675688877,497.330921765,ABxo2b.0154.fits
12,699623.004561,765246.732801,471.101535686,492.440423481,ABxo2b.0170.fits
13,667096.089242,721648.898403,460.136735784,478.332015921,ABxo2b.0182.fits
14,745908.941109,806931.115369,486.228607224,505.499323752,ABxo2b.0194.fits
15,750779.090752,810402.397742,487.80988383,506.588940154,ABxo2b.0202.fits
16,727884.943272,788139.000627,480.381560968,499.638628988,ABxo2b.0212.fits
17,724652.006323,783628.337812,479.301204469,498.201120625,ABxo2b.0228.fits
18,688970.564841,744231.50855,467.502826366,485.658935913,ABxo2b.0242.fits
19,712837.65263,769915.350096,475.428715354,493.872216158,ABxo2b.0254.fits
20,713268.214195,769648.864526,475.534315462,493.74971261,ABxo2b.0262.fits
