,hoststar,refstar,hoststar_err,refstar_err,image
0,643193.949076,694066.415763,453.282781006,470.530810384,ABxo2b.0002.fits
1,646309.847108,697993.859768,454.342413166,471.821150389,ABxo2b.0010.fits
2,688247.718569,743474.312612,468.577556394,486.684703676,ABxo2b.0018.fits
3,699273.63812,758593.74526,472.149692796,491.434494151,ABxo2b.0030.fits
4,699874.941153,756020.103917,472.339882118,490.606061599,ABxo2b.0042.fits
5,706460.759521,764591.060174,474.487028989,493.300717437,ABxo2b.0056.fits
6,688831.669846,749043.878157,468.532708017,488.240564723,ABxo2b.0066.fits
7,626687.832932,685593.925476,447.230434467,467.401118245,ABxo2b.0078.fits
8,693666.29636,759418.252847,470.026620814,491.448657175,ABxo2b.0092.fits
9,701246.731787,770741.50324,472.450602211,494.943568356,ABxo2b.0116.fits
10,700689.989505,767528.1995,472.330408536,493.998629671,ABxo2b.0136.fits
11,733554.866852,802560.312212,483.019869354,504.900100846,ABxo2b.0154.fits
12,727149.105519,795510.678557,480.865724806,502.64126722,ABxo2b.0170.fits
13,703657.478633,761049.76562,473.127632743,491.740873826,ABxo2b.0182.fits
14,761888.141032,824449.91128,492.022947607,511.54272064,ABxo2b.0194.fits
15,765022.09875,826110.535422,493.037489302,512.069165367,ABxo2b.0202.fits
16,749858.99546,811952.269292,488.173760537,507.699104225,ABxo2b.0212.fits
17,749622.244533,811432.925072,488.067770117,507.51351611,ABxo2b.0228.fits
18,726154.482412,784999.366028,480.491283846,499.296101304,ABxo2b.0242.fits
19,741151.602495,801258.014133,485.348036414,504.366462415,ABxo2b.0254.fits
20,743384.763582,803530.612847,486.024149062,505.025760589,ABxo2b.0262.fits
