,hoststar,refstar,hoststar_err,refstar_err,image
0,648807.706968,700102.104497,455.448552957,472.756684682,ABxo2b.0002.fits
1,651962.960477,704194.090908,456.515790467,474.094499749,ABxo2b.0010.fits
2,691282.376644,746790.448912,469.811927826,487.962827357,ABxo2b.0018.fits
3,702217.875771,761810.611737,473.339319001,492.663561855,ABxo2b.0030.fits
4,703596.774714,760122.254933,473.78583391,492.118863673,ABxo2b.0042.fits
5,710215.178825,768739.538601,475.935383116,494.81799902,ABxo2b.0056.fits
6,694048.430445,754716.79829,470.481727959,490.256000846,ABxo2b.0066.fits
7,635562.374658,695289.308399,450.544550627,470.845536477,ABxo2b.0078.fits
8,699075.788447,765359.320749,472.026955954,493.530151857,ABxo2b.0092.fits
9,706631.319987,776694.806142,474.42723557,497.008705612,ABxo2b.0116.fits
10,706815.234707,774261.087436,474.555718588,496.317927701,ABxo2b.0136.fits
11,737466.037439,806825.963576,484.475318397,506.40152929,ABxo2b.0154.fits
12,732436.443425,801293.931383,482.770840649,504.617476387,ABxo2b.0170.fits
13,710934.500356,768979.105701,475.718774081,494.439513655,ABxo2b.0182.fits
14,764859.112321,827734.788909,493.147415281,512.719150596,ABxo2b.0194.fits
15,767661.101804,829075.869845,494.055267385,513.147755303,ABxo2b.0202.fits
16,753941.135292,816414.458516,489.662774173,509.246922453,ABxo2b.0212.fits
17,754122.120828,816504.469014,489.689217581,509.248114989,ABxo2b.0228.fits
18,733047.364736,792679.875491,482.916571886,501.875325191,ABxo2b.0242.fits
19,746402.597989,807073.140234,487.2206618,506.342350132,ABxo2b.0254.fits
20,748696.682337,809493.800272,487.911355999,507.042352854,ABxo2b.0262.fits
