,hoststar,refstar,hoststar_err,refstar_err,image
0,665601.938167,718339.320783,462.07025792,479.608091004,ABxo2b.0002.fits
1,668984.52394,722793.710311,463.195805569,481.041615837,ABxo2b.0010.fits
2,700217.351033,756555.148462,473.63494107,491.905846584,ABxo2b.0018.fits
3,710971.074585,771323.116493,477.053159531,496.469752168,ABxo2b.0030.fits
4,714621.290866,772211.73716,478.239202048,496.741557496,ABxo2b.0042.fits
5,721583.658244,781044.92617,480.474073107,499.475910729,ABxo2b.0056.fits
6,709686.816573,771746.31168,476.459585417,496.430857802,ABxo2b.0066.fits
7,663212.122603,725556.090255,460.880328655,481.593765435,ABxo2b.0078.fits
8,715265.687036,783230.751144,478.141266865,499.90550047,ABxo2b.0092.fits
9,722833.992566,794568.8917,480.494970748,503.319383121,ABxo2b.0116.fits
10,724966.859176,794294.703508,481.270360114,503.325454354,ABxo2b.0136.fits
11,749025.353619,819348.593463,488.926064801,510.953500834,ABxo2b.0154.fits
12,747685.469835,818117.048544,488.407917961,510.493826258,ABxo2b.0170.fits
13,732757.371143,792817.414472,483.570012188,502.620207754,ABxo2b.0182.fits
14,773319.458647,837121.351182,496.52131983,516.241767704,ABxo2b.0194.fits
15,775261.871361,837523.407718,497.155659198,516.386214007,ABxo2b.0202.fits
16,765663.00422,829112.477564,494.095820534,513.804619244,ABxo2b.0212.fits
17,766907.221643,830480.612974,494.452956761,514.190271006,ABxo2b.0228.fits
18,752635.506905,814152.959109,489.931757456,509.205028201,ABxo2b.0242.fits
19,761294.416517,823414.046875,492.680607445,512.038025956,ABxo2b.0254.fits
20,763243.712868,825783.619796,493.244897172,512.705036304,ABxo2b.0262.fits
