,hoststar,refstar,hoststar_err,refstar_err,image
0,530977.682661,573472.703259,410.258137763,426.176604957,ABxo2b.0002.fits
1,533447.330246,575906.491553,411.191664702,427.062112128,ABxo2b.0010.fits
2,618352.750747,668111.220931,442.369177851,459.65350451,ABxo2b.0018.fits
3,633970.36826,687902.600534,447.816564603,466.304621202,ABxo2b.0030.fits
4,619675.700539,668143.777166,442.780208764,459.611525411,ABxo2b.0042.fits
5,626875.137739,677286.232676,445.304299681,462.700259579,ABxo2b.0056.fits
6,583057.973249,633983.505785,429.554509211,447.740814507,ABxo2b.0066.fits
7,474775.292743,519451.359873,388.02005808,405.655419267,ABxo2b.0078.fits
8,585859.631821,641239.756017,430.511670961,450.214996797,ABxo2b.0092.fits
9,591917.702334,650138.97725,432.660248601,453.247888765,ABxo2b.0116.fits
10,575920.154875,629525.610487,426.86014444,446.102190219,ABxo2b.0136.fits
11,645414.558932,706029.405594,451.609231786,472.170231328,ABxo2b.0154.fits
12,607690.590089,664211.739769,438.283088323,458.043396237,ABxo2b.0170.fits
13,559694.136796,604335.30869,420.758165374,437.053801195,ABxo2b.0182.fits
14,683923.066288,738994.306273,464.728199821,482.933876634,ABxo2b.0194.fits
15,694659.758883,748145.268936,468.344192189,485.903980669,ABxo2b.0202.fits
16,646410.785439,699733.449311,451.898159319,470.018860014,ABxo2b.0212.fits
17,626587.619762,674482.798091,444.953448982,461.508139425,ABxo2b.0228.fits
18,565809.858063,609950.259999,423.012871163,439.051707435,ABxo2b.0242.fits
19,609894.636308,656487.858171,439.038250814,455.358383342,ABxo2b.0254.fits
20,592254.667531,634494.248074,432.670497855,447.69843027,ABxo2b.0262.fits
