,hoststar,refstar,hoststar_err,refstar_err,image
0,680582.565892,734682.174351,468.341895541,486.088637902,ABxo2b.0002.fits
1,684464.084644,739592.177876,469.614334244,487.644966921,ABxo2b.0010.fits
2,708234.521459,765216.320493,477.467623117,495.796234315,ABxo2b.0018.fits
3,718890.530992,779795.338334,480.797244376,500.237756652,ABxo2b.0030.fits
4,724499.302847,782979.026338,482.607803061,501.223664841,ABxo2b.0042.fits
5,731746.375327,792101.310715,484.904852762,504.013069717,ABxo2b.0056.fits
6,723732.417723,786946.112885,482.163963039,502.262840389,ABxo2b.0066.fits
7,689616.970877,754468.539325,470.898475237,491.983957352,ABxo2b.0078.fits
8,729922.053061,799417.387754,483.988908549,505.971160395,ABxo2b.0092.fits
9,737349.122717,810486.339759,486.240735927,509.231791891,ABxo2b.0116.fits
10,741010.343403,811905.934276,487.517128435,509.779914992,ABxo2b.0136.fits
11,759159.290586,830315.572172,493.174512924,515.269135337,ABxo2b.0154.fits
12,760595.258428,832397.797815,493.522698441,515.802259059,ABxo2b.0170.fits
13,752217.422471,813938.230507,490.826245857,510.106492101,ABxo2b.0182.fits
14,780505.99374,844960.817026,499.751130995,519.539523903,ABxo2b.0194.fits
15,781887.392682,844809.002818,500.210587853,519.521139231,ABxo2b.0202.fits
16,775572.988138,839888.479396,498.198368448,518.00729737,ABxo2b.0212.fits
17,777210.518063,841903.229489,498.667554809,518.577926624,ABxo2b.0228.fits
18,768305.65327,831299.398127,495.889720452,515.382801844,ABxo2b.0242.fits
19,773451.158631,836771.059846,497.49673697,517.03215432,ABxo2b.0254.fits
20,774660.938944,838642.336624,497.810001834,517.528521139,ABxo2b.0262.fits
