,hoststar,refstar,hoststar_err,refstar_err,image
0,525844.016732,567947.332218,408.234034659,424.083908478,ABxo2b.0002.fits
1,528289.592964,570348.365246,409.163185571,424.961916404,ABxo2b.0010.fits
2,614678.723389,664080.640987,441.012060955,458.225828602,ABxo2b.0018.fits
3,630591.697793,684248.401445,446.58101021,465.025496177,ABxo2b.0030.fits
4,615658.303258,663805.464932,441.303883937,458.079790762,ABxo2b.0042.fits
5,622934.317576,672992.952016,443.863851939,461.194564213,ABxo2b.0056.fits
6,578100.793331,628602.854845,427.690032701,445.803784121,ABxo2b.0066.fits
7,468654.903543,512761.483354,385.482742167,403.007923958,ABxo2b.0078.fits
8,580870.866309,635774.052175,428.64144307,448.260423819,ABxo2b.0092.fits
9,586822.270993,644552.030641,430.761854199,451.265741332,ABxo2b.0116.fits
10,570125.575678,623082.347122,424.676988971,443.784798118,ABxo2b.0136.fits
11,640943.197537,701094.001476,450.008641867,470.485212342,ABxo2b.0154.fits
12,601772.796438,657619.479158,436.115078427,455.73762704,ABxo2b.0170.fits
13,553252.827805,597309.892062,418.303526699,434.480978629,ABxo2b.0182.fits
14,679444.05122,734046.152582,463.171738347,481.283804658,ABxo2b.0194.fits
15,690493.626757,743459.714465,466.904609847,484.348782536,ABxo2b.0202.fits
16,640784.645942,693568.723577,449.897912173,467.915940568,ABxo2b.0212.fits
17,619691.513498,666862.844743,442.47260874,458.869800263,ABxo2b.0228.fits
18,558226.859342,601665.95385,420.146132894,436.038657543,ABxo2b.0242.fits
19,602977.974862,648953.302804,436.516301504,452.71370038,ABxo2b.0254.fits
20,583902.677652,625210.39034,429.588459488,444.392316509,ABxo2b.0262.fits
