,hoststar,refstar,hoststar_err,refstar_err,image
0,630505.965435,680367.395233,448.428098355,465.51712163,ABxo2b.0002.fits
1,633466.916728,683941.925658,449.446862393,466.704506061,ABxo2b.0010.fits
2,681268.496886,735844.626713,465.810543313,483.812193871,ABxo2b.0018.fits
3,692537.430492,751239.816802,469.49551176,488.688347226,ABxo2b.0030.fits
4,691363.182339,746627.770535,469.094874814,487.200640367,ABxo2b.0042.fits
5,697872.730454,755160.766373,471.234939781,489.905676944,ABxo2b.0056.fits
6,676953.162418,736217.431099,464.13905192,483.720868492,ABxo2b.0066.fits
7,607145.784583,664164.194865,439.906440462,459.756959402,ABxo2b.0078.fits
8,681343.324188,745965.419519,465.5101214,486.768773951,ABxo2b.0092.fits
9,688934.634754,757234.555461,467.971371651,490.290609795,ABxo2b.0116.fits
10,686679.746595,752121.873315,467.273972908,488.720174951,ABxo2b.0136.fits
11,724486.960451,792670.247443,479.703962928,501.473569643,ABxo2b.0154.fits
12,714830.976766,781915.153835,476.474317044,498.041326784,ABxo2b.0170.fits
13,686985.016258,743138.058009,467.207186638,485.65084569,ABxo2b.0182.fits
14,754862.118124,816675.305102,489.433502067,508.824340268,ABxo2b.0194.fits
15,758758.899088,819151.295916,490.695332445,509.602579033,ABxo2b.0202.fits
16,740158.230602,801389.421934,484.699830484,504.093796054,ABxo2b.0212.fits
17,738798.228368,799334.667376,484.232772023,503.431724439,ABxo2b.0228.fits
18,709709.791799,766888.194862,474.741207322,493.238110061,ABxo2b.0242.fits
19,728681.032029,787521.279293,480.954242516,499.744835215,ABxo2b.0254.fits
20,730382.519248,788938.477506,481.468134446,500.1470864,ABxo2b.0262.fits
