,hoststar,refstar,hoststar_err,refstar_err,image
0,486013.715885,525272.923381,392.242626019,407.622314616,ABxo2b.0002.fits
1,488105.39774,527275.959173,393.070043407,408.38450678,ABxo2b.0010.fits
2,584101.653048,631587.417424,429.64350346,446.624444131,ABxo2b.0018.fits
3,602930.691588,654461.939574,436.415518577,454.54087361,ABxo2b.0030.fits
4,583474.645975,628915.748029,429.366965727,445.641757559,ABxo2b.0042.fits
5,591396.544577,638442.088117,432.234947866,448.964412766,ABxo2b.0056.fits
6,539237.951348,586562.757707,412.84586946,430.429486765,ABxo2b.0066.fits
7,422928.844199,463006.169839,366.019984577,382.788956901,ABxo2b.0078.fits
8,541765.274611,593153.779246,413.750702143,432.773639789,ABxo2b.0092.fits
9,546895.037682,600957.100643,415.646352933,435.544761319,ABxo2b.0116.fits
10,524809.432451,573308.681127,407.26200968,425.512082889,ABxo2b.0136.fits
11,604869.938583,661722.644098,436.949011388,456.881178776,ABxo2b.0154.fits
12,554585.312553,606305.13678,418.490789632,437.427009809,ABxo2b.0170.fits
13,503976.790733,543488.46422,399.077403049,414.290224323,ABxo2b.0182.fits
14,641732.738011,693143.501928,449.9330129,467.490299993,ABxo2b.0194.fits
15,654795.290036,703970.808296,454.468048216,471.114105387,ABxo2b.0202.fits
16,594950.450918,643679.704649,433.328513566,450.601098091,ABxo2b.0212.fits
17,564148.579622,605304.645054,422.026525333,437.037258324,ABxo2b.0228.fits
18,500024.062991,538814.351947,397.50701985,412.508498828,ABxo2b.0242.fits
19,548431.093328,589132.427215,416.151952311,431.200597281,ABxo2b.0254.fits
20,518089.531339,552489.197884,404.541740777,417.646569805,ABxo2b.0262.fits
