,hoststar,refstar,hoststar_err,refstar_err,image
0,628176.421199,677828.158312,447.541007341,464.59216158,ABxo2b.0002.fits
1,631104.052581,681351.950618,448.550421673,465.765104031,ABxo2b.0010.fits
2,679971.665259,734420.343151,465.305050356,483.284462885,ABxo2b.0018.fits
3,691278.786927,749865.570711,469.008471311,488.183565848,ABxo2b.0030.fits
4,689779.436285,744876.538807,468.49882536,486.573011194,ABxo2b.0042.fits
5,696265.456028,753414.300675,470.634329972,489.283657064,ABxo2b.0056.fits
6,674764.915119,733836.95377,463.334361104,482.886752254,ABxo2b.0066.fits
7,603636.102571,660292.535592,438.58586241,458.37011229,ABxo2b.0078.fits
8,679080.951898,743488.94687,464.684854254,485.910815425,ABxo2b.0092.fits
9,686660.771385,754728.256726,467.148250368,489.431028883,ABxo2b.0116.fits
10,684109.311774,749270.558447,466.348855614,487.74571535,ABxo2b.0136.fits
11,722788.330908,790812.396737,479.089756598,500.836499036,ABxo2b.0154.fits
12,712539.411559,779362.013823,475.661803705,497.181829169,ABxo2b.0170.fits
13,683886.806007,739828.664973,466.107676835,484.525428509,ABxo2b.0182.fits
14,753527.866645,815202.250906,488.950121214,508.31697154,ABxo2b.0194.fits
15,757571.349122,817834.759842,490.259810093,509.143871497,ABxo2b.0202.fits
16,738313.830623,799386.944692,484.0465956,503.416847818,ABxo2b.0212.fits
17,736692.601975,796994.597824,483.494736157,502.64905462,ABxo2b.0228.fits
18,706580.100286,763454.239612,473.64930377,492.090715786,ABxo2b.0242.fits
19,726290.315026,784885.348713,480.117970741,498.863346869,ABxo2b.0254.fits
20,727859.043109,786076.907854,480.590215447,499.196253168,ABxo2b.0262.fits
