,hoststar,refstar,hoststar_err,refstar_err,image
0,671615.53628,724921.328658,464.528919967,482.160679512,ABxo2b.0002.fits
1,675182.005851,729525.833767,465.708802855,483.633687436,ABxo2b.0010.fits
2,703424.73606,760038.674627,475.106444271,493.408971734,ABxo2b.0018.fits
3,714150.342838,774720.929529,478.494707585,497.922513842,ABxo2b.0030.fits
4,718579.427097,776551.356551,479.930659384,498.489032447,ABxo2b.0042.fits
5,725685.731962,785462.425119,482.20110932,501.234552276,ABxo2b.0056.fits
6,715328.066478,777881.872617,478.695890495,498.730960894,ABxo2b.0066.fits
7,673629.756753,736963.266605,464.802351828,485.666078967,ABxo2b.0078.fits
8,721130.673714,789747.868725,480.430665144,502.297631018,ABxo2b.0092.fits
9,728679.454563,800980.049071,482.757119931,505.652180061,ABxo2b.0116.fits
10,731431.394187,801415.449209,483.735956373,505.885453974,ABxo2b.0136.fits
11,753105.838782,823788.735387,490.582708528,512.647331445,ABxo2b.0154.fits
12,752947.715703,823956.408425,490.437020891,512.61059676,ABxo2b.0170.fits
13,740596.743776,801343.633121,486.448542838,505.599975342,ABxo2b.0182.fits
14,776220.325565,840323.226043,497.770773733,517.532544413,ABxo2b.0194.fits
15,777966.758587,840488.117612,498.343611829,517.606608446,ABxo2b.0202.fits
16,769717.390265,833513.388423,495.716052185,515.466252115,ABxo2b.0212.fits
17,771151.578169,835190.238999,496.129039896,515.94190103,ABxo2b.0228.fits
18,759131.916426,821269.175959,492.34265453,511.712756161,ABxo2b.0242.fits
19,766323.407612,828923.175481,494.612182295,514.041333056,ABxo2b.0254.fits
20,768016.19568,831121.485872,495.088629774,514.648964546,ABxo2b.0262.fits
