,hoststar,refstar,hoststar_err,refstar_err,image
0,618007.536303,666964.434139,443.681378365,460.639943742,ABxo2b.0002.fits
1,620833.652424,670288.098531,444.664870709,461.75607705,ABxo2b.0010.fits
2,674221.272044,728245.06099,463.093586237,481.018264023,ABxo2b.0018.fits
3,685793.121581,743879.556437,466.91017056,486.007585717,ABxo2b.0030.fits
4,682909.845747,737291.054161,465.933541498,483.87242399,ABxo2b.0042.fits
5,689348.141532,745842.11941,468.066987776,486.604803712,ABxo2b.0056.fits
6,665260.855547,723574.336796,459.851811029,479.299549356,ABxo2b.0066.fits
7,588632.87154,644001.508658,432.920793324,452.507950189,ABxo2b.0078.fits
8,669300.943843,732879.232297,461.126787528,482.24073703,ABxo2b.0092.fits
9,676796.436577,743953.335215,463.587083786,485.741148935,ABxo2b.0116.fits
10,672974.038592,736946.385553,462.346556571,483.536125701,ABxo2b.0136.fits
11,715295.985859,782711.22699,476.401089184,498.074686818,ABxo2b.0154.fits
12,702382.686286,768261.156051,472.074576776,493.45208191,ABxo2b.0170.fits
13,670622.000965,725472.886902,461.392973256,479.637472913,ABxo2b.0182.fits
14,747554.34561,808714.76517,486.812222291,506.103175067,ABxo2b.0194.fits
15,752246.491934,812006.491111,488.334756299,507.136289892,ABxo2b.0202.fits
16,730123.592106,790557.174544,481.165525447,500.448329795,ABxo2b.0212.fits
17,727262.274876,786523.527215,480.207757879,499.16255002,ABxo2b.0228.fits
18,692742.022518,748341.415075,468.82090739,487.036441873,ABxo2b.0242.fits
19,715728.026847,773130.136607,476.434928744,494.943360287,ABxo2b.0254.fits
20,716452.082364,773231.832937,476.636104604,494.936976806,ABxo2b.0262.fits
