,hoststar,refstar,hoststar_err,refstar_err,image
0,639181.121502,689776.138761,451.742766962,468.95521588,ABxo2b.0002.fits
1,642251.979318,693578.551173,452.790991082,470.208773905,ABxo2b.0010.fits
2,686047.492107,741104.429398,467.696726592,485.782529035,ABxo2b.0018.fits
3,697164.925269,756294.07327,471.30957033,490.566863603,ABxo2b.0030.fits
4,697209.192287,753087.83477,471.315224411,489.53470797,ABxo2b.0042.fits
5,703780.90115,761635.538535,473.463530387,492.229106955,ABxo2b.0056.fits
6,685089.803006,745013.815933,467.14332608,486.815348707,ABxo2b.0066.fits
7,620422.241384,678795.115322,444.887480537,464.980719984,ABxo2b.0078.fits
8,689780.546003,755189.987705,468.597823242,489.973315375,ABxo2b.0092.fits
9,697374.310883,766510.034776,471.037042903,493.481321748,ABxo2b.0116.fits
10,696276.280506,762731.620565,470.734003777,492.351101065,ABxo2b.0136.fits
11,730721.080867,799500.086247,481.97630113,503.831968678,ABxo2b.0154.fits
12,723280.363995,791340.557728,479.481784701,501.223691752,ABxo2b.0170.fits
13,698439.524308,755436.975173,471.27314211,489.831670465,ABxo2b.0182.fits
14,759709.747505,822067.976115,491.211415178,510.70051905,ABxo2b.0194.fits
15,763081.792631,823970.079352,492.302832054,511.301232643,ABxo2b.0202.fits
16,746860.313921,808709.149298,487.09200516,506.584123143,ABxo2b.0212.fits
17,746317.996634,807741.966941,486.888480605,506.260390786,ABxo2b.0228.fits
18,721085.92526,779428.391599,478.715354093,497.429792948,ABxo2b.0242.fits
19,737313.07907,797042.714079,483.988848082,502.941937158,ABxo2b.0254.fits
20,739415.188435,799129.42524,484.626045733,503.546882019,ABxo2b.0262.fits
