,hoststar,refstar,hoststar_err,refstar_err,image
0,657095.73468,709089.223273,458.683902704,476.10325566,ABxo2b.0002.fits
1,660325.668333,713382.405238,459.767585473,477.49625394,ABxo2b.0010.fits
2,695701.53923,751651.761308,471.662753788,489.885071632,ABxo2b.0018.fits
3,706546.459436,766509.861641,475.137092454,494.507317136,ABxo2b.0030.fits
4,709066.739963,766110.224674,475.957058234,494.37275269,ABxo2b.0042.fits
5,715818.496696,774803.472155,478.137459307,497.080238994,ABxo2b.0056.fits
6,701762.084169,763108.667006,473.399679327,493.27064478,ABxo2b.0066.fits
7,648967.987138,710011.434931,455.550626772,476.069943376,ABxo2b.0078.fits
8,707055.629765,774143.971911,475.012081777,496.638595668,ABxo2b.0092.fits
9,714600.236575,785537.45148,477.384754285,500.10413945,ABxo2b.0116.fits
10,715789.985392,784214.374949,477.848449944,499.7728832,ABxo2b.0136.fits
11,743194.565698,813073.942457,486.647973871,508.63913481,ABxo2b.0154.fits
12,740059.087785,809768.192687,485.556364833,507.544850082,ABxo2b.0170.fits
13,721732.222159,780731.561017,479.582422199,498.455288043,ABxo2b.0182.fits
14,769121.662757,832459.317028,494.808093176,514.455357246,ABxo2b.0194.fits
15,771446.705515,833337.549957,495.563665587,514.743249292,ABxo2b.0202.fits
16,759809.837544,822787.358795,491.847147691,511.500310514,ABxo2b.0212.fits
17,760608.199996,823600.435856,492.067395272,511.720667656,ABxo2b.0228.fits
18,742952.910635,803558.35922,486.432799013,505.559311801,ABxo2b.0242.fits
19,753941.215106,815327.272561,489.948390742,509.186125216,ABxo2b.0254.fits
20,756126.554644,817828.53026,490.596396199,509.902718633,ABxo2b.0262.fits
