,hoststar,refstar,hoststar_err,refstar_err,image
0,662951.451749,715415.933758,461.004457947,478.492523978,ABxo2b.0002.fits
1,666273.111404,719819.706082,462.112571098,479.913478712,ABxo2b.0010.fits
2,698804.799499,755014.937402,473.006613723,491.260785801,ABxo2b.0018.fits
3,709578.304089,769806.137145,476.439848926,495.841728299,ABxo2b.0030.fits
4,712879.939588,770292.216386,477.513384925,495.986962838,ABxo2b.0042.fits
5,719760.117055,779087.822395,479.726101335,498.715069632,ABxo2b.0056.fits
6,707202.573272,769019.903431,475.491264292,495.425742046,ABxo2b.0066.fits
7,658704.83516,720594.910809,459.190350062,479.829193495,ABxo2b.0078.fits
8,712696.130266,780350.781032,477.153065846,498.863500689,ABxo2b.0092.fits
9,720256.4694,791725.85443,479.512835175,502.300041816,ABxo2b.0116.fits
10,722100.193998,791127.399286,480.192916058,502.202057611,ABxo2b.0136.fits
11,747206.311497,817376.337558,488.205682123,510.21777453,ABxo2b.0154.fits
12,745340.386156,815515.906588,487.520458889,509.566609785,ABxo2b.0170.fits
13,729290.415693,789019.181508,482.309949786,501.305725099,ABxo2b.0182.fits
14,772023.15213,835674.915149,495.98135051,515.677687187,ABxo2b.0194.fits
15,774067.134071,836214.167274,496.647761078,515.863278652,ABxo2b.0202.fits
16,763846.507932,827136.690683,493.388051269,513.076164828,ABxo2b.0212.fits
17,764970.622731,828353.078268,493.70874548,513.417037402,ABxo2b.0228.fits
18,749651.839509,810882.117709,488.84430607,508.071107214,ABxo2b.0242.fits
19,759015.205845,820911.337499,491.824235484,511.146308936,ABxo2b.0254.fits
20,761054.030653,823339.696749,492.419743917,511.834295961,ABxo2b.0262.fits
