,hoststar,refstar,hoststar_err,refstar_err,image
0,575774.752997,621439.066187,427.624232615,444.037119625,ABxo2b.0002.fits
1,578307.19725,624363.91178,428.540581846,445.057789182,ABxo2b.0010.fits
2,648618.418332,700753.526469,453.522643157,471.186416455,ABxo2b.0018.fits
3,661695.995549,717936.083356,457.955262845,476.807168128,ABxo2b.0030.fits
4,653178.92296,704672.00873,455.024883413,472.422378954,ABxo2b.0042.fits
5,659767.369092,713438.824189,457.267472647,475.299085686,ABxo2b.0056.fits
6,625586.064097,680315.112379,445.335391408,464.185452191,ABxo2b.0066.fits
7,530522.309443,580393.786025,410.495297479,429.103171803,ABxo2b.0078.fits
8,628789.164187,688582.84666,446.382871053,466.896633778,ABxo2b.0092.fits
9,635780.382613,698447.012401,448.767910728,470.129271453,ABxo2b.0116.fits
10,626084.174428,684847.106368,445.410752635,465.621366124,ABxo2b.0136.fits
11,682640.959884,747025.371903,464.827305689,486.043035744,ABxo2b.0154.fits
12,657954.352443,719275.5354,456.380877063,476.967617651,ABxo2b.0170.fits
13,616146.720138,666115.547466,441.776605355,459.141633255,ABxo2b.0182.fits
14,719495.100086,777979.480453,477.025699049,495.85615184,ABxo2b.0194.fits
15,727072.833484,784301.031931,479.520044365,497.861758161,ABxo2b.0202.fits
16,692437.003615,749685.881921,468.049212221,486.830524383,ABxo2b.0212.fits
17,682338.911704,736525.281873,464.635806691,482.558378223,ABxo2b.0228.fits
18,631927.19435,681925.226232,447.319492445,464.493898613,ABxo2b.0242.fits
19,667358.505212,719546.778153,459.559954578,477.015094031,ABxo2b.0254.fits
20,661082.588771,711114.848969,457.385175271,474.205790544,ABxo2b.0262.fits
