,hoststar,refstar,hoststar_err,refstar_err,image
0,672733.954749,726127.101241,464.992650344,482.635545244,ABxo2b.0002.fits
1,676335.862668,730769.085853,466.182945314,484.118915259,ABxo2b.0010.fits
2,704019.4596,760678.273567,475.386701874,493.692756802,ABxo2b.0018.fits
3,714738.814861,775349.042605,478.768842673,498.198149742,ABxo2b.0030.fits
4,719312.580422,777353.127356,480.250999434,498.818779081,ABxo2b.0042.fits
5,726432.749958,786281.746342,482.52375612,501.567230685,ABxo2b.0056.fits
6,716372.025185,779006.16611,479.116116418,499.159134807,ABxo2b.0066.fits
7,675590.552602,739076.433439,465.543302679,486.423975529,ABxo2b.0078.fits
8,722225.605376,790942.437295,480.863521007,502.742400681,ABxo2b.0092.fits
9,729760.513403,802157.907439,483.181398131,506.086711781,ABxo2b.0116.fits
10,732626.484621,802708.275462,484.197607335,506.356871915,ABxo2b.0136.fits
11,753856.758136,824598.977156,490.894189977,512.963214508,ABxo2b.0154.fits
12,753917.811262,825010.974159,490.817137653,512.999809822,ABxo2b.0170.fits
13,742042.509874,802899.82378,486.984513141,506.149197569,ABxo2b.0182.fits
14,776756.743068,840901.109477,498.008078556,517.772887367,ABxo2b.0194.fits
15,778462.784388,841025.246387,498.568298393,517.834947464,ABxo2b.0202.fits
16,770459.032445,834309.031508,496.019152924,515.773742952,ABxo2b.0212.fits
17,771917.250721,836038.413723,496.438861642,516.26453495,ABxo2b.0228.fits
18,760295.710152,822536.866211,492.781898037,512.166727867,ABxo2b.0242.fits
19,767229.999882,829914.319025,494.967737661,514.408825367,ABxo2b.0254.fits
20,768870.936909,832073.127452,495.426531872,515.003055437,ABxo2b.0262.fits
