,hoststar,refstar,hoststar_err,refstar_err,image
0,623295.320371,672532.542242,445.685516455,462.665114624,ABxo2b.0002.fits
1,626161.520126,675950.00549,446.678119706,463.807541268,ABxo2b.0010.fits
2,677229.674182,731421.348049,464.244301162,482.180255601,ABxo2b.0018.fits
3,688645.983126,746956.66457,467.996082533,487.122639906,ABxo2b.0030.fits
4,686474.711138,741185.23566,467.260311842,485.256147849,ABxo2b.0042.fits
5,692919.646659,749725.506587,469.388849344,487.976125353,ABxo2b.0056.fits
6,670190.050539,728836.431993,461.655285632,481.137919492,ABxo2b.0066.fits
7,596364.261761,652292.369054,435.843871443,455.497239778,ABxo2b.0078.fits
8,674364.288569,738308.265518,462.96673169,484.118320028,ABxo2b.0092.fits
9,681908.705827,749477.342365,465.430570387,487.632373378,ABxo2b.0116.fits
10,678749.071483,743265.847282,464.420836137,485.695145148,ABxo2b.0136.fits
11,719206.28754,786878.438755,477.800040064,499.493035,ABxo2b.0154.fits
12,707696.892513,773974.047027,473.948481715,495.370820131,ABxo2b.0170.fits
13,677456.273987,732819.69698,463.823416733,482.141493226,ABxo2b.0182.fits
14,750688.232825,812065.873217,487.928545477,507.243443657,ABxo2b.0194.fits
15,755042.709647,815023.240478,489.34002131,508.171705093,ABxo2b.0202.fits
16,734404.461984,795115.372086,482.667461454,501.97850835,ABxo2b.0212.fits
17,732199.693701,791949.053884,481.925275608,500.967263356,ABxo2b.0228.fits
18,699956.057199,756131.343559,471.338303135,489.643810566,ABxo2b.0242.fits
19,721231.844769,779206.500318,478.351887838,496.968880405,ABxo2b.0254.fits
20,722446.447133,779910.585409,478.711434124,497.150948142,ABxo2b.0262.fits
