,hoststar,refstar,hoststar_err,refstar_err,image
0,600478.384215,648049.54582,437.033650454,453.763450563,ABxo2b.0002.fits
1,603152.109547,651169.88155,437.97913149,454.827957539,ABxo2b.0010.fits
2,663996.373541,717171.155817,459.230745866,477.023139229,ABxo2b.0018.fits
3,676048.797168,733334.087624,463.251501631,482.234706343,ABxo2b.0030.fits
4,670760.230634,723989.84253,461.451771516,479.182879782,ABxo2b.0042.fits
5,677198.145319,732631.607333,463.608909095,481.974807499,ABxo2b.0056.fits
6,648828.754942,705651.856461,453.845961754,473.048773562,ABxo2b.0066.fits
7,563765.623356,616752.141885,423.427878451,442.593562615,ABxo2b.0078.fits
8,652462.638968,714560.427329,455.009533299,475.908826567,ABxo2b.0092.fits
9,659806.075203,725108.129408,457.460037323,479.293346422,ABxo2b.0116.fits
10,653652.156694,715349.384768,455.394822197,476.146394719,ABxo2b.0136.fits
11,702028.219772,768275.288294,471.682537087,493.193779968,ABxo2b.0154.fits
12,684413.433792,748281.606836,465.73962642,486.749465353,ABxo2b.0170.fits
13,647826.66652,700772.576621,453.245264728,471.174836355,ABxo2b.0182.fits
14,736544.126048,796687.926014,482.938870775,502.063397943,ABxo2b.0194.fits
15,742384.432223,801215.459987,484.843260985,503.487973441,ABxo2b.0202.fits
16,715198.590006,774386.063637,475.959097619,495.05211729,ABxo2b.0212.fits
17,709632.59176,766997.863573,474.100374438,492.688684698,ABxo2b.0228.fits
18,667914.570422,721210.808063,460.115895519,477.91020364,ABxo2b.0242.fits
19,696426.336021,751770.49648,469.720177527,487.82417245,ABxo2b.0254.fits
20,694846.0679,748980.374397,469.159321949,486.892148064,ABxo2b.0262.fits
