,hoststar,refstar,hoststar_err,refstar_err,image
0,670475.795848,723678.884126,464.058183667,481.674045257,ABxo2b.0002.fits
1,674004.472108,728247.667454,465.226855338,483.137273936,ABxo2b.0010.fits
2,702817.704526,759380.909708,474.822598595,493.119863158,ABxo2b.0018.fits
3,713549.576141,774078.707599,478.217005648,497.642874979,ABxo2b.0030.fits
4,717831.925476,775727.568087,479.606032795,498.152731614,ABxo2b.0042.fits
5,724919.023448,784621.857954,481.872450053,500.895587415,ABxo2b.0056.fits
6,714261.42872,776723.979465,478.268461295,498.292421305,ABxo2b.0066.fits
7,671635.305664,734796.414231,464.049462515,484.890227136,ABxo2b.0078.fits
8,720015.492403,788518.283667,479.991383967,501.842080299,ABxo2b.0092.fits
9,727575.939406,799769.817088,482.325730496,505.207760792,ABxo2b.0116.fits
10,730210.841847,800083.361649,483.266174556,505.401961406,ABxo2b.0136.fits
11,752338.401629,822954.547635,490.266293774,512.324447004,ABxo2b.0154.fits
12,751955.788228,822868.958374,490.050161094,512.211534447,ABxo2b.0170.fits
13,739119.272975,799740.063866,485.902290697,505.0359628,ABxo2b.0182.fits
14,775671.934091,839727.240526,497.530104449,517.287102295,ABxo2b.0194.fits
15,777458.351961,839933.732026,498.115451026,517.373440779,ABxo2b.0202.fits
16,768957.729388,832693.256843,495.407588089,515.151626512,ABxo2b.0212.fits
17,770363.228955,834313.327576,495.812373731,515.610824821,ABxo2b.0228.fits
18,757932.653774,819956.440839,491.892241913,511.245072992,ABxo2b.0242.fits
19,765390.137824,827899.999356,494.248431506,513.664301205,ABxo2b.0254.fits
20,767133.829447,830136.630542,494.742258329,514.284997392,ABxo2b.0262.fits
