,hoststar,refstar,hoststar_err,refstar_err,image
0,559391.725659,603734.090387,421.326818704,437.503261523,ABxo2b.0002.fits
1,561882.898905,606443.07567,422.242487597,438.46293171,ABxo2b.0010.fits
2,637959.445033,689135.529719,449.591225666,467.08278572,ABxo2b.0018.fits
3,651780.723591,707218.388872,454.324667632,473.056162267,ABxo2b.0030.fits
4,641082.629857,691496.27407,450.613255811,467.813839173,ABxo2b.0042.fits
5,647770.364823,700397.068039,452.913964505,470.76539213,ABxo2b.0056.fits
6,610090.857782,663320.222507,439.624130998,458.197381671,ABxo2b.0066.fits
7,509505.724018,557248.644361,402.147730033,420.332747508,ABxo2b.0078.fits
8,613069.795861,671146.224095,440.612509229,460.800053498,ABxo2b.0092.fits
9,619735.936805,680655.935514,442.919273368,463.961472063,ABxo2b.0116.fits
10,607702.903554,664503.582145,438.679486882,458.517002198,ABxo2b.0136.fits
11,669309.905802,732275.970116,460.110281654,481.072892045,ABxo2b.0154.fits
12,639939.39678,699308.127501,449.95109501,470.169418255,ABxo2b.0170.fits
13,595151.605053,643233.896332,434.05738957,451.066125031,ABxo2b.0182.fits
14,707184.489149,764364.007095,472.77492531,491.353354825,ABxo2b.0194.fits
15,715932.050956,771843.955812,475.676227759,493.744121514,ABxo2b.0202.fits
16,676140.98318,732030.509204,462.367219773,480.928600795,ABxo2b.0212.fits
17,662592.109288,714633.941592,457.733182972,475.209915488,ABxo2b.0228.fits
18,607661.122268,655418.815358,438.531931236,455.268065691,ABxo2b.0242.fits
19,646719.182896,696939.135561,452.270235763,469.340436727,ABxo2b.0254.fits
20,636687.767424,683890.838063,448.753065293,464.933985662,ABxo2b.0262.fits
