,hoststar,refstar,hoststar_err,refstar_err,image
0,586888.949318,633474.437413,431.868985183,448.447868358,ABxo2b.0002.fits
1,589475.22973,636502.472207,432.795104386,449.493781447,ABxo2b.0010.fits
2,655665.549493,708348.137712,456.13064353,473.877601139,ABxo2b.0018.fits
3,668237.267332,724994.785323,460.361505668,479.287397387,ABxo2b.0030.fits
4,661152.836,713462.209069,457.936743102,475.496305099,ABxo2b.0042.fits
5,667679.425773,722173.554115,460.142603099,478.334758588,ABxo2b.0056.fits
6,636052.516983,691790.3946,449.175067864,468.207413476,ABxo2b.0066.fits
7,545269.547495,596612.581529,416.271308752,435.161480963,ABxo2b.0078.fits
8,639443.173446,700383.169293,450.273515404,470.998654819,ABxo2b.0092.fits
9,646604.516546,710530.887239,452.692622477,474.292430464,ABxo2b.0116.fits
10,638537.927734,698681.105209,449.935742322,470.411284228,ABxo2b.0136.fits
11,691470.627598,756790.939499,467.948623539,489.328138756,ABxo2b.0154.fits
12,670016.532344,732613.319267,460.657573675,481.476164305,ABxo2b.0170.fits
13,630380.044627,681739.981935,446.954479988,464.593900095,ABxo2b.0182.fits
14,727399.154382,786727.526714,479.76079098,498.752276873,ABxo2b.0194.fits
15,734182.248843,792232.78741,481.983395183,500.491490508,ABxo2b.0202.fits
16,702958.526048,761141.920522,471.706899684,490.645878963,ABxo2b.0212.fits
17,695023.075506,750647.692904,469.042066019,487.264572624,ABxo2b.0228.fits
18,648265.778169,699811.75408,453.1612621,470.637110498,ABxo2b.0242.fits
19,680755.887919,734360.457933,464.25563512,482.000513138,ABxo2b.0254.fits
20,676790.66324,728714.030416,462.884052375,480.128544319,ABxo2b.0262.fits
