,hoststar,refstar,hoststar_err,refstar_err,image
0,554981.413023,599006.682368,419.622046041,435.747925121,ABxo2b.0002.fits
1,557467.530857,601660.00168,420.53978005,436.691705041,ABxo2b.0010.fits
2,635013.414256,685954.690438,448.506390988,465.959910249,ABxo2b.0018.fits
3,649080.228219,704271.609824,453.337472691,472.026549196,ABxo2b.0030.fits
4,637806.204449,687899.03285,449.417225617,466.554286453,ABxo2b.0042.fits
5,644549.450139,696825.636324,451.743751718,469.522877432,ABxo2b.0056.fits
6,605919.300322,658749.041912,438.079796084,456.578970086,ABxo2b.0066.fits
7,503990.708169,551205.991398,399.933170328,418.016970001,ABxo2b.0078.fits
8,608854.488856,666472.183221,439.057752306,459.157286863,ABxo2b.0092.fits
9,615430.404877,675890.069482,441.341984604,462.30027936,ABxo2b.0116.fits
10,602774.431869,659044.604795,436.862525775,456.597083451,ABxo2b.0136.fits
11,665679.046651,728244.624202,458.823084406,479.711315386,ABxo2b.0154.fits
12,635016.084,693913.229295,448.183991593,468.320971818,ABxo2b.0170.fits
13,589592.693764,637084.516506,431.995036301,448.876229336,ABxo2b.0182.fits
14,703738.223979,760563.006796,471.585120569,490.095513436,ABxo2b.0194.fits
15,712802.609475,768322.169789,474.598105592,492.580993316,ABxo2b.0202.fits
16,671655.635425,727119.22713,460.797285245,479.280459514,ABxo2b.0212.fits
17,657164.507286,708500.097486,455.823837468,473.13739681,ABxo2b.0228.fits
18,601150.480481,648280.978123,436.149289678,452.756711031,ABxo2b.0242.fits
19,641098.444199,690677.110775,450.270385928,467.19880898,ABxo2b.0254.fits
20,629958.986182,676328.460448,446.349185215,462.332005009,ABxo2b.0262.fits
