,hoststar,refstar,hoststar_err,refstar_err,image
0,653933.283269,705640.883314,457.442847858,474.813898039,ABxo2b.0002.fits
1,657127.849446,709862.831618,458.517984331,476.187825363,ABxo2b.0010.fits
2,694023.759011,749793.717222,470.951275646,489.142936483,ABxo2b.0018.fits
3,704906.529232,764709.415971,474.447155796,493.794004394,ABxo2b.0030.fits
4,706999.207829,763821.228455,475.127630073,493.504368847,ABxo2b.0042.fits
5,713691.499321,772476.557668,477.293552038,496.205981224,ABxo2b.0056.fits
6,698831.82209,759890.611428,472.284353912,492.109445148,ABxo2b.0066.fits
7,643803.971839,704317.112162,453.621447458,474.04962561,ABxo2b.0078.fits
8,704014.99024,770771.590413,473.868579717,495.440649316,ABxo2b.0092.fits
9,711563.479902,782138.238149,476.251886356,498.909968753,ABxo2b.0116.fits
10,712380.324807,780400.88898,476.59163903,498.444907335,ABxo2b.0136.fits
11,741023.548539,810685.289556,485.817270882,507.777826067,ABxo2b.0154.fits
12,737170.926924,806535.43499,484.494509637,506.422964354,ABxo2b.0170.fits
13,717634.648822,776213.172422,478.111699237,496.908914399,ABxo2b.0182.fits
14,767521.199739,830661.15078,494.176081888,513.788034903,ABxo2b.0194.fits
15,770022.783196,831722.967714,494.98787974,514.131602112,ABxo2b.0202.fits
16,757594.978355,820366.091348,491.015318049,510.63789477,ABxo2b.0212.fits
17,758174.408701,820923.99259,491.167203345,510.781280467,ABxo2b.0228.fits
18,739234.891754,799444.570024,485.106677562,504.161297017,ABxo2b.0242.fits
19,751124.283684,812198.420159,488.921191648,508.102324382,ABxo2b.0254.fits
20,753357.180854,814688.935699,489.587448898,508.818872295,ABxo2b.0262.fits
