,hoststar,refstar,hoststar_err,refstar_err,image
0,498119.064955,538123.407393,397.159830859,412.638925743,ABxo2b.0002.fits
1,500336.220679,540274.048624,398.026010549,413.447413293,ABxo2b.0010.fits
2,593788.951825,641689.462197,433.26278997,450.251226009,ABxo2b.0018.fits
3,611586.048807,663721.833727,439.608852444,457.814435327,ABxo2b.0030.fits
4,593409.790809,639674.850626,433.07553199,449.503110061,ABxo2b.0042.fits
5,601118.130776,649088.259096,435.841502457,452.75744961,ABxo2b.0056.fits
6,551094.473711,599304.92218,417.420325127,435.137623702,ABxo2b.0066.fits
7,436502.477812,477685.442519,371.895567288,388.856370566,ABxo2b.0078.fits
8,553693.396204,606079.66035,418.339020054,437.519542786,ABxo2b.0092.fits
9,559081.779274,614191.969411,420.307956202,440.368154971,ABxo2b.0116.fits
10,538610.698451,588332.656149,412.633896652,431.100804511,ABxo2b.0136.fits
11,616055.275128,673848.2411,441.029185558,461.10422704,ABxo2b.0154.fits
12,569131.844579,621945.039809,423.991703979,443.079288327,ABxo2b.0170.fits
13,518733.949291,559591.031571,404.923225858,420.425342247,ABxo2b.0182.fits
14,653692.571324,706031.494729,454.161276564,471.869028089,ABxo2b.0194.fits
15,666207.376077,716533.813415,458.467700524,475.352750382,ABxo2b.0202.fits
16,609195.403466,659124.856508,438.534652015,456.022115627,ABxo2b.0212.fits
17,581223.341815,624228.613768,428.406177585,443.853967241,ABxo2b.0228.fits
18,517524.472799,557590.00684,404.439295817,419.668727981,ABxo2b.0242.fits
19,565021.605666,607344.075852,422.440872694,437.853347799,ABxo2b.0254.fits
20,538114.171907,574493.0719,412.314700152,425.908415381,ABxo2b.0262.fits
