,hoststar,refstar,hoststar_err,refstar_err,image
0,545631.525752,589244.088048,415.994387453,432.106354585,ABxo2b.0002.fits
1,548118.659863,591797.949629,416.92095951,433.022531198,ABxo2b.0010.fits
2,628617.869551,679292.52929,446.154009203,463.606382452,ABxo2b.0018.fits
3,643291.716696,698112.202518,451.223983375,469.87376777,ABxo2b.0030.fits
4,630827.272539,680410.172136,446.8681253,463.927383699,ABxo2b.0042.fits
5,637751.025803,689408.253888,449.271751318,466.937665911,ABxo2b.0056.fits
6,597055.919188,649295.60767,434.789136552,453.219128755,ABxo2b.0066.fits
7,492505.871477,538877.595881,395.288704109,413.256356242,ABxo2b.0078.fits
8,599936.64719,656821.413717,435.758291974,455.751721959,ABxo2b.0092.fits
9,606311.836279,666053.63006,437.990641317,458.857533694,ABxo2b.0116.fits
10,592344.397605,647790.550759,433.000242276,452.618258204,ABxo2b.0136.fits
11,657885.009577,719858.14378,456.056639598,476.871763461,ABxo2b.0154.fits
12,624445.823769,682713.621524,444.375316371,464.465425716,ABxo2b.0170.fits
13,577965.04912,624470.606704,427.655518647,444.354660182,ABxo2b.0182.fits
14,696216.915014,752558.237191,468.988019816,487.442183549,ABxo2b.0194.fits
15,705962.268506,760876.783265,472.243184464,490.119558688,ABxo2b.0202.fits
16,662004.840773,716840.449254,457.409967516,475.818419965,ABxo2b.0212.fits
17,645551.867864,695666.789455,451.719910874,468.777434074,ABxo2b.0228.fits
18,587432.778347,633578.953565,431.093185284,447.544166388,ABxo2b.0242.fits
19,629145.427441,677673.059074,445.995537001,462.724922073,ABxo2b.0254.fits
20,615571.02198,660500.626814,441.173456199,456.844106468,ABxo2b.0262.fits
