,hoststar,refstar,hoststar_err,refstar_err,image
0,677844.901234,731697.046645,467.152808517,484.863997097,ABxo2b.0002.fits
1,681646.15156,736523.687317,468.40264939,486.398411098,ABxo2b.0010.fits
2,706763.899767,763638.281004,476.719736314,495.043068031,ABxo2b.0018.fits
3,717453.8083,778249.597956,480.0722023,499.507609646,ABxo2b.0030.fits
4,722705.134727,781030.334943,481.769830142,500.369211001,ABxo2b.0042.fits
5,729898.657536,790075.642508,484.055691159,503.141731278,ABxo2b.0056.fits
6,721169.382893,784185.692178,481.083046387,501.164834911,ABxo2b.0066.fits
7,684670.224218,749013.41544,468.997580372,490.003416594,ABxo2b.0078.fits
8,727250.849765,796460.629175,482.884733683,504.827426163,ABxo2b.0092.fits
9,734714.886839,807587.210863,485.159904678,508.119827829,ABxo2b.0116.fits
10,738097.159853,808691.168122,486.345104342,508.567175291,ABxo2b.0136.fits
11,757307.32255,828331.78147,492.360006699,514.450477111,ABxo2b.0154.fits
12,758305.688268,829846.933231,492.574116601,514.816068621,ABxo2b.0170.fits
13,748684.609809,810082.881052,489.475696337,508.709837847,ABxo2b.0182.fits
14,779207.126789,843548.940506,499.127939247,518.907403192,ABxo2b.0194.fits
15,780700.125426,843496.297609,499.621871237,518.917800132,ABxo2b.0202.fits
16,773809.568367,837951.20539,497.427002184,517.214092585,ABxo2b.0212.fits
17,775389.128071,839896.781786,497.880597288,517.766303913,ABxo2b.0228.fits
18,765549.608208,828293.320369,494.801125175,514.260699552,ABxo2b.0242.fits
19,771317.562401,834420.512466,496.608905779,516.113292307,ABxo2b.0254.fits
20,772688.29437,836394.460574,496.976349523,516.644664898,ABxo2b.0262.fits
