,hoststar,refstar,hoststar_err,refstar_err,image
0,668116.210459,721076.968669,463.090145215,480.663041066,ABxo2b.0002.fits
1,671567.894682,725586.552596,464.235909515,482.11073772,ABxo2b.0010.fits
2,701557.523737,758003.035886,474.241078617,492.523140473,ABxo2b.0018.fits
3,712301.548711,772739.001552,477.647722877,497.067482214,ABxo2b.0030.fits
4,716280.147953,774013.559771,478.939391961,497.46029443,ABxo2b.0042.fits
5,723317.39162,782875.577165,481.194066404,500.198304997,ABxo2b.0056.fits
6,712049.106134,774302.179565,477.388300619,497.382491233,ABxo2b.0066.fits
7,667529.432034,730278.167514,462.502210262,483.27669277,ABxo2b.0078.fits
8,717712.698678,785943.319572,479.089652909,500.895154939,ABxo2b.0092.fits
9,725281.370635,797238.575967,481.434974822,504.284909722,ABxo2b.0116.fits
10,727676.403166,797269.681937,482.296615035,504.388755022,ABxo2b.0136.fits
11,750739.730908,821200.308019,489.614066406,511.653323633,ABxo2b.0154.fits
12,749890.996702,820561.700431,489.251201487,511.373438216,ABxo2b.0170.fits
13,736049.000788,796373.912546,484.772264932,503.858116442,ABxo2b.0182.fits
14,774535.326193,838464.913159,497.037422169,516.776023015,ABxo2b.0194.fits
15,776396.8794,838762.12393,497.646320063,516.88923705,ABxo2b.0202.fits
16,767373.649819,830956.90175,494.771139448,514.494025131,ABxo2b.0212.fits
17,768708.873063,832457.886101,495.155407902,514.918589252,ABxo2b.0228.fits
18,755403.676618,817161.38332,490.950109263,510.257837045,ABxo2b.0242.fits
19,763427.635278,825731.329181,493.49121111,512.873520643,ABxo2b.0254.fits
20,765273.121421,828039.13108,494.019879421,513.518758245,ABxo2b.0262.fits
