,hoststar,refstar,hoststar_err,refstar_err,image
0,678784.207354,732716.881906,467.557820576,485.279933896,ABxo2b.0002.fits
1,682618.977786,737573.032052,468.817447336,486.822197605,ABxo2b.0010.fits
2,707270.157991,764177.470985,476.973799421,495.297809543,ABxo2b.0018.fits
3,717950.385495,778777.246593,480.319153165,499.754409184,ABxo2b.0030.fits
4,723324.172295,781695.499575,482.055524912,500.658486418,ABxo2b.0042.fits
5,730536.224538,790767.326378,484.345315018,503.436890391,ABxo2b.0056.fits
6,722052.176099,785129.080704,481.45228855,501.537802103,ABxo2b.0066.fits
7,686361.372303,750872.281914,469.645556826,490.676843944,ABxo2b.0078.fits
8,728172.547447,797472.877969,483.26264922,505.216684569,ABxo2b.0092.fits
9,735621.559961,808579.171619,485.529124016,508.498112398,ABxo2b.0116.fits
10,739098.422849,809790.121365,486.745253873,508.979632772,ABxo2b.0136.fits
11,757943.866192,829011.417819,492.637231052,514.728585747,ABxo2b.0154.fits
12,759095.434857,830725.515981,492.898426731,515.153111263,ABxo2b.0170.fits
13,749902.333069,811399.477754,489.938595798,509.18499874,ABxo2b.0182.fits
14,779655.958145,844033.57319,499.340220311,519.12192921,ABxo2b.0194.fits
15,781107.396605,843944.993627,499.82127707,519.121852575,ABxo2b.0202.fits
16,774417.624266,838616.26555,497.690113598,517.483978394,ABxo2b.0212.fits
17,776019.215156,840585.019614,498.149762325,518.042369731,ABxo2b.0228.fits
18,766501.808941,829327.271698,495.174344343,514.644230591,ABxo2b.0242.fits
19,772054.404876,835228.15426,496.91259681,516.426588856,ABxo2b.0254.fits
20,773372.040394,837168.946624,497.262135724,516.946602975,ABxo2b.0262.fits
