,hoststar,refstar,hoststar_err,refstar_err,image
0,632780.306564,682817.141866,449.294861052,466.410828047,ABxo2b.0002.fits
1,635772.41831,686443.75479,450.322230036,467.613125364,ABxo2b.0010.fits
2,682526.788696,737220.141752,466.303185844,484.324192231,ABxo2b.0018.fits
3,693765.075954,752560.74816,469.972340039,489.176128779,ABxo2b.0030.fits
4,692911.488901,748315.300807,469.678970708,487.80759841,ABxo2b.0042.fits
5,699444.511599,756848.331629,471.823615562,490.508682011,ABxo2b.0056.fits
6,679090.097208,738508.685881,464.925666672,484.525274069,ABxo2b.0066.fits
7,610588.860789,667935.246032,441.200047857,461.106050705,ABxo2b.0078.fits
8,683557.009555,748358.584262,466.318157711,487.599009749,ABxo2b.0092.fits
9,691155.011512,759653.895894,468.775739479,491.121479571,ABxo2b.0116.fits
10,689194.06858,754885.275945,468.179063272,489.665114177,ABxo2b.0136.fits
11,726138.694296,794461.535659,480.302636908,502.089582995,ABxo2b.0154.fits
12,717055.842707,784384.792085,477.26409154,498.873631847,ABxo2b.0170.fits
13,690016.498697,746340.630212,468.282337005,486.739793513,ABxo2b.0182.fits
14,756151.178168,818094.901208,489.902476428,509.315257402,ABxo2b.0194.fits
15,759906.603768,820419.376706,491.118282407,510.046490823,ABxo2b.0202.fits
16,741944.297878,803317.578266,485.333881313,504.74726771,ABxo2b.0212.fits
17,740825.80575,801570.900714,484.944988255,504.181406048,ABxo2b.0228.fits
18,712740.840993,770192.79353,475.798653569,494.342346852,ABxo2b.0242.fits
19,730994.550479,790043.363798,481.764481034,500.589636866,ABxo2b.0254.fits
20,732805.206824,791667.093744,482.312228924,501.055029538,ABxo2b.0262.fits
