,hoststar,refstar,hoststar_err,refstar_err,image
0,571846.756666,617207.989763,426.119240527,442.480807904,ABxo2b.0002.fits
1,574365.22749,620084.975947,427.03393501,443.488383922,ABxo2b.0010.fits
2,646095.815361,698012.956015,452.591211341,470.217547117,ABxo2b.0018.fits
3,659340.204387,715414.943614,457.091533702,475.923389524,ABxo2b.0030.fits
4,650303.778835,701557.274658,453.976441283,471.333126688,ABxo2b.0042.fits
5,656913.015083,710347.491369,456.231809392,474.224698798,ABxo2b.0056.fits
6,621872.34315,676268.220214,443.970016987,462.763143335,ABxo2b.0066.fits
7,525408.858118,574774.271705,408.477348593,426.98768768,ABxo2b.0078.fits
8,625019.017854,684416.337177,445.002614184,465.443966022,ABxo2b.0092.fits
9,631936.776165,694193.773216,447.370706548,468.659139443,ABxo2b.0116.fits
10,621677.724191,679968.253464,443.80328904,463.924543006,ABxo2b.0136.fits
11,679474.64973,743531.379344,463.70795073,484.866963089,ABxo2b.0154.fits
12,653667.839215,714506.164403,454.855950512,475.349726527,ABxo2b.0170.fits
13,611100.991543,660633.793168,439.930962311,457.217106608,ABxo2b.0182.fits
14,716616.128228,774793.296362,476.031170901,494.802475727,ABxo2b.0194.fits
15,724473.178269,781408.033391,478.621933153,496.904567964,ABxo2b.0202.fits
16,688602.160892,745544.078585,466.714694275,485.448819483,ABxo2b.0212.fits
17,677695.293391,731423.339673,463.0181926,480.851909388,ABxo2b.0228.fits
18,626119.964556,675590.91524,445.22928592,462.302982639,ABxo2b.0242.fits
19,662484.621224,714237.242334,457.845467552,475.220182555,ABxo2b.0254.fits
20,655346.599802,704749.251896,455.366522665,472.050372157,ABxo2b.0262.fits
